"Time","bansos"
"2024-11-30",0
"2024-12-01",0
"2024-12-02",36
"2024-12-03",58
"2024-12-04",53
"2024-12-05",71
"2024-12-06",40
"2024-12-07",44
"2024-12-08",0
"2024-12-09",50
"2024-12-10",85
"2024-12-11",82
"2024-12-12",54
"2024-12-13",52
"2024-12-14",52
"2024-12-15",0
"2024-12-16",66
"2024-12-17",69
"2024-12-18",73
"2024-12-19",0
"2024-12-20",100
"2024-12-21",77
"2024-12-22",50
"2024-12-23",0
"2024-12-24",89
"2024-12-25",55
"2024-12-26",0
"2024-12-27",57
"2024-12-28",64
"2024-12-29",63
"2024-12-30",0
"2024-12-31",0
"2024-10-31",0
"2024-11-01",0
"2024-11-02",0
"2024-11-03",0
"2024-11-04",53
"2024-11-05",53
"2024-11-06",73
"2024-11-07",0
"2024-11-08",98
"2024-11-09",65
"2024-11-10",0
"2024-11-11",0
"2024-11-12",0
"2024-11-13",71
"2024-11-14",0
"2024-11-15",0
"2024-11-16",0
"2024-11-17",0
"2024-11-18",0
"2024-11-19",0
"2024-11-20",0
"2024-11-21",83
"2024-11-22",100
"2024-11-23",62
"2024-11-24",0
"2024-11-25",0
"2024-11-26",0
"2024-11-27",0
"2024-11-28",0
"2024-11-29",60
"2024-09-30",0
"2024-10-01",0
"2024-10-02",100
"2024-10-03",0
"2024-10-04",73
"2024-10-05",0
"2024-10-06",97
"2024-10-07",86
"2024-10-08",0
"2024-10-09",0
"2024-10-10",0
"2024-10-11",0
"2024-10-12",0
"2024-10-13",0
"2024-10-14",0
"2024-10-15",0
"2024-10-16",0
"2024-10-17",0
"2024-10-18",0
"2024-10-19",0
"2024-10-20",0
"2024-10-21",0
"2024-10-22",0
"2024-10-23",0
"2024-10-24",0
"2024-10-25",0
"2024-10-26",0
"2024-10-27",0
"2024-10-28",0
"2024-10-29",0
"2024-10-30",0
"2024-08-31",0
"2024-09-01",0
"2024-09-02",0
"2024-09-03",0
"2024-09-04",0
"2024-09-05",0
"2024-09-06",0
"2024-09-07",0
"2024-09-08",0
"2024-09-09",0
"2024-09-10",0
"2024-09-11",0
"2024-09-12",0
"2024-09-13",0
"2024-09-14",0
"2024-09-15",0
"2024-09-16",0
"2024-09-17",0
"2024-09-18",0
"2024-09-19",0
"2024-09-20",0
"2024-09-21",0
"2024-09-22",0
"2024-09-23",0
"2024-09-24",0
"2024-09-25",100
"2024-09-26",0
"2024-09-27",0
"2024-09-28",0
"2024-09-29",0
"2024-07-31",62
"2024-08-01",77
"2024-08-02",0
"2024-08-03",0
"2024-08-04",76
"2024-08-05",83
"2024-08-06",100
"2024-08-07",66
"2024-08-08",0
"2024-08-09",0
"2024-08-10",0
"2024-08-11",0
"2024-08-12",0
"2024-08-13",0
"2024-08-14",0
"2024-08-15",0
"2024-08-16",0
"2024-08-17",0
"2024-08-18",0
"2024-08-19",0
"2024-08-20",0
"2024-08-21",0
"2024-08-22",0
"2024-08-23",0
"2024-08-24",0
"2024-08-25",0
"2024-08-26",0
"2024-08-27",0
"2024-08-28",63
"2024-08-29",50
"2024-08-30",0
"2024-06-30",0
"2024-07-01",0
"2024-07-02",0
"2024-07-03",0
"2024-07-04",0
"2024-07-05",0
"2024-07-06",0
"2024-07-07",0
"2024-07-08",0
"2024-07-09",0
"2024-07-10",0
"2024-07-11",0
"2024-07-12",0
"2024-07-13",0
"2024-07-14",0
"2024-07-15",100
"2024-07-16",0
"2024-07-17",0
"2024-07-18",72
"2024-07-19",0
"2024-07-20",0
"2024-07-21",0
"2024-07-22",0
"2024-07-23",90
"2024-07-24",0
"2024-07-25",0
"2024-07-26",0
