"Time","bansos"
"2021-01-01",24
"2021-02-01",8
"2021-03-01",12
"2021-04-01",20
"2021-05-01",17
"2021-06-01",11
"2021-07-01",24
"2021-08-01",17
"2021-09-01",14
"2021-10-01",16
"2021-11-01",13
"2021-12-01",18
"2022-01-01",16
"2022-02-01",24
"2022-03-01",22
"2022-04-01",32
"2022-05-01",12
"2022-06-01",15
"2022-07-01",14
"2022-08-01",19
"2022-09-01",100
"2022-10-01",31
"2022-11-01",43
"2022-12-01",22
"2023-01-01",27
"2023-02-01",27
"2023-03-01",36
"2023-04-01",35
"2023-05-01",32
"2023-06-01",34
"2023-07-01",27
"2023-08-01",52
"2023-09-01",32
"2023-10-01",42
"2023-11-01",46
"2023-12-01",33
"2024-01-01",38
"2024-02-01",54
"2024-03-01",43
"2024-04-01",24
"2024-05-01",23
"2024-06-01",23
"2024-07-01",28
"2024-08-01",29
"2024-09-01",18
"2024-10-01",29
"2024-11-01",35
"2024-12-01",57
"2025-01-01",33
"2025-02-01",55
"2025-03-01",26
"2025-04-01",22
"2025-05-01",46
"2025-06-01",61
"2025-07-01",50
"2025-08-01",28
"2025-09-01",37
"2025-10-01",37
"2025-11-01",64
"2025-12-01",49
"2026-01-01",27
"2026-02-01",42
"2026-03-01",22
"2026-04-01",43
"2026-05-01",84
