"Time","bansos"
"2021-01-01",35
"2021-02-01",8
"2021-03-01",10
"2021-04-01",17
"2021-05-01",16
"2021-06-01",8
"2021-07-01",20
"2021-08-01",13
"2021-09-01",12
"2021-10-01",13
"2021-11-01",11
"2021-12-01",15
"2022-01-01",16
"2022-02-01",23
"2022-03-01",22
"2022-04-01",33
"2022-05-01",11
"2022-06-01",13
"2022-07-01",13
"2022-08-01",16
"2022-09-01",100
"2022-10-01",30
"2022-11-01",42
"2022-12-01",23
"2023-01-01",25
"2023-02-01",23
"2023-03-01",30
"2023-04-01",32
"2023-05-01",29
"2023-06-01",32
"2023-07-01",21
"2023-08-01",35
"2023-09-01",22
"2023-10-01",32
"2023-11-01",40
"2023-12-01",27
"2024-01-01",32
"2024-02-01",43
"2024-03-01",37
"2024-04-01",20
"2024-05-01",21
"2024-06-01",18
"2024-07-01",22
"2024-08-01",23
"2024-09-01",16
"2024-10-01",28
"2024-11-01",34
"2024-12-01",55
"2025-01-01",35
"2025-02-01",46
"2025-03-01",25
"2025-04-01",20
"2025-05-01",41
"2025-06-01",57
"2025-07-01",46
"2025-08-01",29
"2025-09-01",36
"2025-10-01",45
"2025-11-01",65
"2025-12-01",51
"2026-01-01",26
"2026-02-01",56
"2026-03-01",27
"2026-04-01",45
"2026-05-01",74
