"Time,""bansos"""
2021-01-01,27
2021-01-02,48
2021-01-03,50
2021-01-04,100
2021-01-05,73
2021-01-06,52
2021-01-07,25
2021-01-08,35
2021-01-09,47
2021-01-10,20
2021-01-11,31
2021-01-12,36
2021-01-13,38
2021-01-14,24
2021-01-15,14
2021-01-16,28
2021-01-17,26
2021-01-18,14
2021-01-19,0
2021-01-20,11
2021-01-21,0
2021-01-22,0
2021-01-23,17
2021-01-24,18
2021-01-25,16
2021-01-26,15
2021-01-27,0
2021-01-28,0
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,0
2021-02-04,100
2021-02-05,0
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,0
2021-02-10,0
2021-02-11,0
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,0
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-02-27,0
2021-02-28,0
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-04,0
2021-03-05,0
2021-03-06,0
2021-03-07,0
2021-03-08,0
2021-03-09,0
2021-03-10,0
2021-03-11,0
2021-03-12,0
2021-03-13,0
2021-03-14,0
2021-03-15,0
2021-03-16,0
2021-03-17,0
2021-03-18,85
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,0
2021-03-24,0
2021-03-25,0
2021-03-26,96
2021-03-27,0
2021-03-28,0
2021-03-29,100
2021-03-30,0
2021-03-31,0
2021-04-01,0
2021-04-02,0
2021-04-03,0
2021-04-04,50
2021-04-05,0
2021-04-06,0
2021-04-07,43
2021-04-08,41
2021-04-09,0
2021-04-10,0
2021-04-11,0
2021-04-12,0
2021-04-13,0
2021-04-14,39
2021-04-15,0
2021-04-16,0
2021-04-17,0
2021-04-18,0
2021-04-19,81
2021-04-20,61
2021-04-21,57
2021-04-22,0
2021-04-23,100
2021-04-24,59
2021-04-25,0
2021-04-26,0
2021-04-27,43
2021-04-28,38
2021-04-29,59
2021-04-30,70
2021-05-01,100
2021-05-02,92
2021-05-03,72
2021-05-04,39
2021-05-05,48
2021-05-06,56
2021-05-07,0
2021-05-08,58
2021-05-09,62
2021-05-10,0
2021-05-11,0
2021-05-12,0
2021-05-13,0
2021-05-14,0
2021-05-15,0
2021-05-16,0
2021-05-17,0
2021-05-18,0
2021-05-19,0
2021-05-20,0
2021-05-21,0
2021-05-22,54
2021-05-23,0
2021-05-24,0
2021-05-25,42
2021-05-26,58
2021-05-27,0
2021-05-28,63
2021-05-29,0
2021-05-30,0
2021-05-31,0
2021-06-01,
2021-06-02,
2021-06-03,
2021-06-04,
2021-06-05,
2021-06-06,
2021-06-07,
2021-06-08,
2021-06-09,
2021-06-10,
2021-06-11,
2021-06-12,
2021-06-13,
2021-06-14,
2021-06-15,
2021-06-16,
2021-06-17,
2021-06-18,
2021-06-19,
2021-06-20,
2021-06-21,
2021-06-22,
2021-06-23,
2021-06-24,
2021-06-25,
2021-06-26,
2021-06-27,
2021-06-28,
2021-06-29,
2021-06-30,
2021-07-01,0
2021-07-02,70
2021-07-03,0
2021-07-04,0
2021-07-05,0
2021-07-06,45
2021-07-07,80
2021-07-08,67
2021-07-09,58
2021-07-10,0
2021-07-11,52
2021-07-12,0
2021-07-13,49
2021-07-14,55
2021-07-15,0
2021-07-16,0
2021-07-17,53
2021-07-18,58
2021-07-19,45
2021-07-20,0
2021-07-21,83
2021-07-22,58
2021-07-23,0
2021-07-24,96
2021-07-25,0
2021-07-26,71
2021-07-27,0
2021-07-28,63
2021-07-29,86
2021-07-30,100
2021-07-31,70
2021-08-01,100
2021-08-02,67
2021-08-03,0
2021-08-04,95
2021-08-05,79
2021-08-06,0
2021-08-07,0
2021-08-08,0
2021-08-09,84
2021-08-10,78
2021-08-11,74
2021-08-12,0
2021-08-13,62
2021-08-14,0
2021-08-15,0
2021-08-16,0
2021-08-17,0
2021-08-18,0
2021-08-19,0
2021-08-20,0
2021-08-21,58
2021-08-22,0
2021-08-23,0
2021-08-24,0
2021-08-25,0
2021-08-26,55
2021-08-27,0
2021-08-28,0
2021-08-29,0
2021-08-30,0
2021-08-31,0
2021-09-01,0
2021-09-02,56
2021-09-03,0
2021-09-04,61
2021-09-05,0
2021-09-06,46
2021-09-07,0
2021-09-08,0
2021-09-09,45
2021-09-10,0
2021-09-11,0
2021-09-12,0
2021-09-13,0
2021-09-14,0
2021-09-15,60
2021-09-16,0
2021-09-17,0
2021-09-18,100
2021-09-19,0
2021-09-20,0
2021-09-21,54
2021-09-22,48
2021-09-23,60
2021-09-24,0
2021-09-25,0
2021-09-26,0
2021-09-27,54
2021-09-28,72
2021-09-29,0
2021-09-30,51
2021-10-01,0
2021-10-02,76
2021-10-03,0
2021-10-04,0
2021-10-05,55
2021-10-06,60
2021-10-07,0
2021-10-08,78
2021-10-09,0
2021-10-10,0
2021-10-11,0
2021-10-12,0
2021-10-13,100
2021-10-14,90
2021-10-15,0
2021-10-16,0
2021-10-17,0
2021-10-18,0
2021-10-19,0
2021-10-20,0
2021-10-21,0
2021-10-22,0
2021-10-23,0
2021-10-24,0
2021-10-25,0
2021-10-26,0
2021-10-27,69
2021-10-28,0
2021-10-29,0
2021-10-30,0
2021-10-31,0
2021-11-01,0
2021-11-02,0
2021-11-03,0
2021-11-04,0
2021-11-05,0
2021-11-06,0
2021-11-07,0
2021-11-08,0
2021-11-09,73
2021-11-10,0
2021-11-11,0
2021-11-12,0
2021-11-13,0
2021-11-14,0
2021-11-15,0
2021-11-16,0
2021-11-17,0
2021-11-18,0
2021-11-19,100
2021-11-20,0
2021-11-21,0
2021-11-22,0
2021-11-23,0
2021-11-24,0
2021-11-25,0
2021-11-26,0
2021-11-27,92
2021-11-28,0
2021-11-29,0
2021-11-30,0
2021-12-01,0
2021-12-02,0
2021-12-03,0
2021-12-04,0
2021-12-05,0
2021-12-06,0
