"Time","bansos"
"2021-01-01",23
"2021-02-01",8
"2021-03-01",7
"2021-04-01",15
"2021-05-01",10
"2021-06-01",7
"2021-07-01",15
"2021-08-01",11
"2021-09-01",13
"2021-10-01",14
"2021-11-01",10
"2021-12-01",11
"2022-01-01",12
"2022-02-01",21
"2022-03-01",19
"2022-04-01",24
"2022-05-01",10
"2022-06-01",10
"2022-07-01",11
"2022-08-01",11
"2022-09-01",100
"2022-10-01",24
"2022-11-01",36
"2022-12-01",16
"2023-01-01",18
"2023-02-01",18
"2023-03-01",21
"2023-04-01",24
"2023-05-01",22
"2023-06-01",22
"2023-07-01",22
"2023-08-01",35
"2023-09-01",21
"2023-10-01",26
"2023-11-01",29
"2023-12-01",23
"2024-01-01",26
"2024-02-01",30
"2024-03-01",28
"2024-04-01",16
"2024-05-01",17
"2024-06-01",14
"2024-07-01",23
"2024-08-01",21
"2024-09-01",15
"2024-10-01",22
"2024-11-01",30
"2024-12-01",48
"2025-01-01",30
"2025-02-01",44
"2025-03-01",21
"2025-04-01",17
"2025-05-01",33
"2025-06-01",46
"2025-07-01",35
"2025-08-01",23
"2025-09-01",26
"2025-10-01",32
"2025-11-01",48
"2025-12-01",33
"2026-01-01",18
"2026-02-01",28
"2026-03-01",14
"2026-04-01",28
"2026-05-01",48
