"Time","bansos"
"2020-12-01",15
"2021-01-01",19
"2021-02-01",9
"2021-03-01",7
"2021-04-01",10
"2021-05-01",8
"2021-06-01",6
"2021-07-01",21
"2021-08-01",12
"2021-09-01",13
"2021-10-01",13
"2021-11-01",8
"2021-12-01",8
"2022-01-01",11
"2022-02-01",18
"2022-03-01",13
"2022-04-01",18
"2022-05-01",7
"2022-06-01",8
"2022-07-01",8
"2022-08-01",11
"2022-09-01",100
"2022-10-01",22
"2022-11-01",25
"2022-12-01",14
"2023-01-01",18
"2023-02-01",15
"2023-03-01",19
"2023-04-01",17
"2023-05-01",17
"2023-06-01",21
"2023-07-01",15
"2023-08-01",27
"2023-09-01",19
"2023-10-01",22
"2023-11-01",24
"2023-12-01",16
"2024-01-01",20
"2024-02-01",25
"2024-03-01",17
"2024-04-01",11
"2024-05-01",12
"2024-06-01",12
"2024-07-01",13
"2024-08-01",13
"2024-09-01",11
"2024-10-01",14
"2024-11-01",35
"2024-12-01",26
"2025-01-01",17
"2025-02-01",27
"2025-03-01",13
"2025-04-01",14
"2025-05-01",22
"2025-06-01",32
"2025-07-01",31
"2025-08-01",18
"2025-09-01",22
"2025-10-01",34
"2025-11-01",33
"2025-12-01",22
"2026-01-01",15
"2026-02-01",18
"2026-03-01",8
"2026-04-01",26
"2026-05-01",39
