"Time,""bansos"""
2021-01-01,61
2021-01-02,48
2021-01-03,73
2021-01-04,94
2021-01-05,100
2021-01-06,84
2021-01-07,70
2021-01-08,63
2021-01-09,62
2021-01-10,56
2021-01-11,66
2021-01-12,73
2021-01-13,76
2021-01-14,53
2021-01-15,33
2021-01-16,23
2021-01-17,35
2021-01-18,35
2021-01-19,22
2021-01-20,34
2021-01-21,19
2021-01-22,18
2021-01-23,25
2021-01-24,30
2021-01-25,21
2021-01-26,18
2021-01-27,21
2021-01-28,25
2021-01-29,36
2021-01-30,19
2021-01-31,0
2021-02-01,84
2021-02-02,0
2021-02-03,83
2021-02-04,0
2021-02-05,0
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,61
2021-02-10,63
2021-02-11,0
2021-02-12,0
2021-02-13,70
2021-02-14,88
2021-02-15,70
2021-02-16,95
2021-02-17,87
2021-02-18,100
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,0
2021-02-24,0
2021-02-25,0
2021-02-26,64
2021-02-27,0
2021-02-28,0
2021-03-01,0
2021-03-02,45
2021-03-03,51
2021-03-04,46
2021-03-05,0
2021-03-06,55
2021-03-07,0
2021-03-08,47
2021-03-09,79
2021-03-10,51
2021-03-11,0
2021-03-12,0
2021-03-13,0
2021-03-14,0
2021-03-15,45
2021-03-16,0
2021-03-17,0
2021-03-18,100
2021-03-19,91
2021-03-20,71
2021-03-21,97
2021-03-22,53
2021-03-23,0
2021-03-24,0
2021-03-25,52
2021-03-26,54
2021-03-27,66
2021-03-28,59
2021-03-29,53
2021-03-30,0
2021-03-31,47
2021-04-01,0
2021-04-02,31
2021-04-03,0
2021-04-04,48
2021-04-05,35
2021-04-06,27
2021-04-07,25
2021-04-08,34
2021-04-09,34
2021-04-10,38
2021-04-11,51
2021-04-12,44
2021-04-13,84
2021-04-14,76
2021-04-15,70
2021-04-16,73
2021-04-17,56
2021-04-18,44
2021-04-19,43
2021-04-20,49
2021-04-21,60
2021-04-22,78
2021-04-23,73
2021-04-24,58
2021-04-25,54
2021-04-26,47
2021-04-27,61
2021-04-28,87
2021-04-29,68
2021-04-30,100
2021-05-01,66
2021-05-02,91
2021-05-03,67
2021-05-04,66
2021-05-05,35
2021-05-06,61
2021-05-07,36
2021-05-08,39
2021-05-09,0
2021-05-10,30
2021-05-11,26
2021-05-12,0
2021-05-13,0
2021-05-14,39
2021-05-15,0
2021-05-16,0
2021-05-17,0
2021-05-18,32
2021-05-19,41
2021-05-20,31
2021-05-21,32
2021-05-22,0
2021-05-23,36
2021-05-24,36
2021-05-25,35
2021-05-26,0
2021-05-27,33
2021-05-28,0
2021-05-29,24
2021-05-30,0
2021-05-31,0
2021-06-01,72
2021-06-02,86
2021-06-03,87
2021-06-04,61
2021-06-05,0
2021-06-06,81
2021-06-07,96
2021-06-08,81
2021-06-09,64
2021-06-10,81
2021-06-11,82
2021-06-12,71
2021-06-13,0
2021-06-14,100
2021-06-15,92
2021-06-16,67
2021-06-17,0
2021-06-18,0
2021-06-19,73
2021-06-20,0
2021-06-21,69
2021-06-22,0
2021-06-23,71
2021-06-24,0
2021-06-25,0
2021-06-26,0
2021-06-27,0
2021-06-28,0
2021-06-29,0
2021-06-30,0
2021-07-01,0
2021-07-02,30
2021-07-03,27
2021-07-04,45
2021-07-05,54
2021-07-06,39
2021-07-07,44
2021-07-08,52
2021-07-09,35
2021-07-10,41
2021-07-11,50
2021-07-12,56
2021-07-13,45
2021-07-14,56
2021-07-15,48
2021-07-16,57
2021-07-17,69
2021-07-18,93
2021-07-19,47
2021-07-20,76
2021-07-21,68
2021-07-22,73
2021-07-23,69
2021-07-24,75
2021-07-25,88
2021-07-26,66
2021-07-27,59
2021-07-28,100
2021-07-29,88
2021-07-30,99
2021-07-31,94
2021-08-01,100
2021-08-02,83
2021-08-03,58
2021-08-04,55
2021-08-05,44
2021-08-06,47
2021-08-07,45
2021-08-08,28
2021-08-09,42
2021-08-10,51
2021-08-11,70
2021-08-12,56
2021-08-13,46
2021-08-14,40
2021-08-15,44
2021-08-16,35
2021-08-17,50
2021-08-18,48
2021-08-19,35
2021-08-20,45
2021-08-21,0
2021-08-22,29
2021-08-23,32
2021-08-24,0
2021-08-25,20
2021-08-26,28
2021-08-27,0
2021-08-28,33
2021-08-29,0
2021-08-30,27
2021-08-31,28
2021-09-01,75
2021-09-02,69
2021-09-03,98
2021-09-04,90
2021-09-05,100
2021-09-06,78
2021-09-07,94
2021-09-08,50
2021-09-09,75
2021-09-10,68
2021-09-11,60
2021-09-12,0
2021-09-13,49
2021-09-14,51
2021-09-15,78
2021-09-16,96
2021-09-17,84
2021-09-18,90
2021-09-19,0
2021-09-20,63
2021-09-21,55
2021-09-22,81
2021-09-23,70
2021-09-24,88
2021-09-25,61
2021-09-26,83
2021-09-27,67
2021-09-28,73
2021-09-29,75
2021-09-30,69
2021-10-01,78
2021-10-02,60
2021-10-03,97
2021-10-04,54
2021-10-05,75
2021-10-06,55
2021-10-07,58
2021-10-08,77
2021-10-09,47
2021-10-10,61
2021-10-11,96
2021-10-12,79
2021-10-13,64
2021-10-14,78
2021-10-15,48
2021-10-16,66
2021-10-17,69
2021-10-18,67
2021-10-19,76
2021-10-20,98
2021-10-21,52
2021-10-22,66
2021-10-23,0
2021-10-24,0
2021-10-25,51
2021-10-26,57
2021-10-27,100
2021-10-28,59
2021-10-29,73
2021-10-30,0
2021-10-31,51
2021-11-01,86
2021-11-02,67
2021-11-03,67
2021-11-04,47
2021-11-05,0
2021-11-06,50
2021-11-07,53
2021-11-08,100
2021-11-09,61
2021-11-10,74
2021-11-11,47
2021-11-12,58
2021-11-13,78
2021-11-14,0
2021-11-15,48
2021-11-16,52
2021-11-17,0
2021-11-18,51
2021-11-19,62
2021-11-20,53
2021-11-21,0
2021-11-22,59
2021-11-23,76
2021-11-24,66
2021-11-25,54
2021-11-26,61
2021-11-27,0
2021-11-28,76
2021-11-29,58
2021-11-30,0
2021-12-01,0
2021-12-02,49
2021-12-03,54
2021-12-04,0
2021-12-05,0
2021-12-06,62
2021-12-07,40
2021-12-08,56
2021-12-09,56
2021-12-10,0
2021-12-11,0
2021-12-12,0
2021-12-13,64
2021-12-14,68
2021-12-15,51
2021-12-16,74
2021-12-17,82
2021-12-18,68
2021-12-19,60
2021-12-20,66
2021-12-21,0
2021-12-22,0
2021-12-23,78
2021-12-24,80
2021-12-25,52
2021-12-26,61
2021-12-27,0
2021-12-28,100
2021-12-29,82
2021-12-30,94
2021-12-31,69
2022-01-01,43
2022-01-02,45
2022-01-03,73
2022-01-04,100
2022-01-05,74
2022-01-06,0
2022-01-07,65
2022-01-08,66
2022-01-09,50
2022-01-10,63
2022-01-11,46
2022-01-12,69
2022-01-13,75
2022-01-14,65
2022-01-15,77
2022-01-16,48
2022-01-17,60
2022-01-18,62
2022-01-19,72
2022-01-20,45
2022-01-21,70
2022-01-22,60
2022-01-23,83
2022-01-24,58
2022-01-25,50
2022-01-26,62
2022-01-27,0
2022-01-28,52
2022-01-29,48
2022-01-30,0
2022-01-31,62
2022-02-01,0
2022-02-02,32
2022-02-03,0
2022-02-04,31
2022-02-05,41
2022-02-06,0
2022-02-07,44
2022-02-08,35
2022-02-09,37
2022-02-10,23
2022-02-11,32
2022-02-12,0
2022-02-13,28
2022-02-14,28
2022-02-15,20
2022-02-16,34
2022-02-17,38
2022-02-18,44
2022-02-19,27
2022-02-20,27
2022-02-21,49
2022-02-22,48
2022-02-23,100
2022-02-24,89
2022-02-25,95
2022-02-26,64
2022-02-27,66
2022-02-28,76
2022-03-01,67
2022-03-02,100
2022-03-03,80
2022-03-04,77
2022-03-05,63
2022-03-06,42
2022-03-07,68
2022-03-08,42
2022-03-09,36
2022-03-10,39
2022-03-11,44
2022-03-12,35
2022-03-13,31
2022-03-14,32
2022-03-15,39
2022-03-16,30
2022-03-17,43
2022-03-18,30
2022-03-19,14
2022-03-20,29
2022-03-21,28
2022-03-22,28
2022-03-23,31
2022-03-24,30
2022-03-25,28
2022-03-26,24
2022-03-27,24
2022-03-28,23
2022-03-29,20
2022-03-30,31
2022-03-31,23
2022-04-01,25
2022-04-02,32
2022-04-03,47
2022-04-04,36
2022-04-05,35
2022-04-06,47
2022-04-07,32
2022-04-08,40
2022-04-09,22
2022-04-10,30
2022-04-11,45
2022-04-12,57
2022-04-13,87
2022-04-14,80
2022-04-15,100
2022-04-16,66
2022-04-17,69
2022-04-18,65
2022-04-19,67
2022-04-20,49
2022-04-21,59
2022-04-22,41
2022-04-23,42
2022-04-24,39
2022-04-25,29
2022-04-26,32
2022-04-27,34
2022-04-28,36
2022-04-29,32
2022-04-30,19
2022-05-01,49
2022-05-02,0
2022-05-03,0
2022-05-04,0
2022-05-05,56
2022-05-06,58
2022-05-07,49
2022-05-08,0
2022-05-09,96
2022-05-10,93
2022-05-11,52
2022-05-12,85
2022-05-13,100
2022-05-14,62
2022-05-15,68
2022-05-16,64
2022-05-17,70
2022-05-18,89
2022-05-19,38
2022-05-20,72
2022-05-21,59
2022-05-22,50
2022-05-23,58
2022-05-24,77
2022-05-25,55
2022-05-26,46
2022-05-27,59
2022-05-28,0
2022-05-29,0
2022-05-30,0
2022-05-31,53
2022-06-01,62
2022-06-02,55
2022-06-03,55
2022-06-04,51
2022-06-05,48
2022-06-06,31
2022-06-07,41
2022-06-08,45
2022-06-09,72
2022-06-10,48
2022-06-11,54
2022-06-12,0
2022-06-13,61
2022-06-14,56
2022-06-15,39
2022-06-16,57
2022-06-17,45
2022-06-18,0
2022-06-19,51
2022-06-20,50
2022-06-21,100
2022-06-22,92
2022-06-23,39
2022-06-24,37
2022-06-25,38
2022-06-26,38
2022-06-27,38
2022-06-28,53
2022-06-29,90
2022-06-30,32
2022-07-01,96
2022-07-02,63
2022-07-03,93
2022-07-04,72
2022-07-05,78
2022-07-06,85
2022-07-07,100
2022-07-08,70
2022-07-09,61
2022-07-10,61
2022-07-11,76
2022-07-12,75
2022-07-13,79
2022-07-14,60
2022-07-15,78
2022-07-16,61
2022-07-17,69
2022-07-18,79
2022-07-19,50
2022-07-20,56
2022-07-21,69
2022-07-22,49
2022-07-23,49
2022-07-24,48
2022-07-25,57
2022-07-26,51
2022-07-27,46
2022-07-28,59
2022-07-29,54
2022-07-30,64
2022-07-31,65
2022-08-01,57
2022-08-02,82
2022-08-03,71
2022-08-04,100
2022-08-05,51
2022-08-06,63
2022-08-07,80
2022-08-08,47
2022-08-09,70
2022-08-10,57
2022-08-11,59
2022-08-12,80
2022-08-13,78
2022-08-14,62
2022-08-15,70
2022-08-16,51
2022-08-17,57
2022-08-18,60
2022-08-19,39
2022-08-20,38
2022-08-21,64
2022-08-22,52
2022-08-23,31
2022-08-24,56
2022-08-25,54
2022-08-26,49
2022-08-27,39
2022-08-28,32
2022-08-29,71
2022-08-30,71
2022-08-31,83
2022-09-01,7
2022-09-02,5
2022-09-03,8
2022-09-04,13
2022-09-05,48
2022-09-06,98
2022-09-07,54
2022-09-08,90
2022-09-09,100
2022-09-10,81
2022-09-11,61
2022-09-12,68
2022-09-13,83
2022-09-14,70
2022-09-15,59
2022-09-16,51
2022-09-17,39
2022-09-18,29
2022-09-19,32
2022-09-20,31
2022-09-21,28
2022-09-22,21
2022-09-23,23
2022-09-24,18
2022-09-25,16
2022-09-26,18
2022-09-27,19
2022-09-28,17
2022-09-29,13
2022-09-30,13
2022-10-01,82
2022-10-02,78
2022-10-03,93
2022-10-04,100
2022-10-05,87
2022-10-06,72
2022-10-07,96
2022-10-08,79
2022-10-09,86
2022-10-10,84
2022-10-11,59
2022-10-12,45
2022-10-13,74
2022-10-14,66
2022-10-15,69
2022-10-16,47
2022-10-17,54
2022-10-18,61
2022-10-19,44
2022-10-20,47
2022-10-21,41
2022-10-22,47
2022-10-23,55
2022-10-24,61
2022-10-25,47
2022-10-26,49
2022-10-27,78
2022-10-28,52
2022-10-29,46
2022-10-30,28
2022-10-31,54
2022-11-01,38
2022-11-02,30
2022-11-03,51
2022-11-04,49
2022-11-05,41
2022-11-06,34
2022-11-07,38
2022-11-08,49
2022-11-09,44
